Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
64;"Universidade Potiguar (UNP)";RN;Privada;29;29.28;411;10.48;353;5.14;550;1.33;482;4.01;;
65;"Universidade Estadual do Norte Fluminense Darcy Ribeiro (UENF)";RJ;Pública;65;20.64;43;19.11;1;8;184;3.11;1;8;0;0
66;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;65;20.64;46;19.03;64;7.49;95;3.54;1;8;0;0
67;"Universidade Estadual de Ponta Grossa (UEPG)";PR;Pública;65;20.64;48;18.91;104;7.16;52;3.75;1;8;;
68;"Universidade do Estado do Pará (UEPA)";PA;Pública;29;29.28;447;10.03;405;4.72;;;325;5.31;0;0
69;"Universidade Estadual do Piauí (UESPI)";PI;Pública;29;29.28;479;9.67;759;1.85;523;1.46;199;6.36;;
70;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;29;29.28;482;9.65;266;5.85;357;2.27;781;1.53;;
71;"Universidade Federal do Estado do Rio de Janeiro (UNIRIO)";RJ;Pública;65;20.64;57;18.22;19;7.85;31;3.85;179;6.52;;
72;"Universidade Estadual do Maranhão (UEMA)";MA;Pública;29;29.28;516;9.28;674;2.54;571;1.23;301;5.51;;
73;"Universidade de Caxias do Sul (UCS)";RS;Privada;0;0;32;38.51;128;6.97;110;3.47;635;2.74;15;25.33
74;"Universidade Estadual de Goiás (UEG)";GO;Pública;29;29.28;528;9.12;944;0.35;361;2.25;179;6.52;;
75;"Universidade Federal Rural de Pernambuco (UFRPE)";PE;Pública;65;20.64;63;17.65;70;7.44;369;2.21;1;8;;
76;"Universidade de Taubaté (UNITAU)";SP;Pública;65;20.64;65;17.64;194;6.43;163;3.21;1;8;;
77;"Universidade São Judas Tadeu (USJT)";SP;Privada;65;20.64;92;16.47;72;7.42;1;4;357;5.05;;
78;"Universidade Estadual do Sudoeste da Bahia (UESB)";BA;Pública;65;20.64;103;16.21;199;6.39;449;1.82;1;8;;
79;"Universidade Salgado de Oliveira (UNIVERSO)";RJ;Privada;29;29.28;665;7.51;622;2.96;673;0.73;505;3.82;;
80;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;65;20.64;113;16.02;114;7.08;630;0.94;1;8;;
81;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;65;20.64;115;15.97;97;7.22;669;0.75;1;8;;
82;"Universidade do Estado de Mato Grosso (UNEMAT)";MT;Pública;65;20.64;125;15.78;155;6.75;295;2.57;187;6.46;0;0
83;"Universidade Positivo (UP)";PR;Privada;65;20.64;136;15.61;75;7.4;186;3.1;350;5.11;;
84;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;65;20.64;143;15.46;58;7.54;303;2.53;316;5.39;;
85;"Universidade do Ceuma (UNICEUMA)";MA;Privada;65;20.64;145;15.38;294;5.62;461;1.76;1;8;;
86;"Faculdade Frassinetti do Recife (FAFIRE)";PE;Privada;29;29.28;724;6.66;689;2.42;297;2.56;763;1.68;;
87;"Universidade Federal do Amazonas (UFAM)";AM;Pública;65;20.64;162;14.87;471;4.19;272;2.68;1;8;0;0
88;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;65;20.64;170;14.65;209;6.31;190;3.08;331;5.26;0;0
89;"Centro Universitário de Várzea Grande (UNIVAG)";MT;Privada;65;20.64;180;14.3;44;7.65;426;1.93;397;4.72;;
90;"Universidade de Mogi das Cruzes (UMC)";SP;Privada;65;20.64;184;14.18;210;6.3;116;3.44;430;4.44;;
91;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;65;20.64;188;14.13;141;6.86;340;2.35;372;4.92;;
92;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;65;20.64;199;13.83;203;6.36;501;1.57;254;5.9;0;0
93;"Centro Universitário Jorge Amado (UNIJORGE)";BA;Privada;65;20.64;207;13.62;166;6.66;453;1.8;344;5.16;;
94;"Centro Universitário Cesmac (CESMAC)";AL;Privada;29;29.28;829;4.94;708;2.26;686;0.67;724;2.01;;
95;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;65;20.64;209;13.57;320;5.41;79;3.62;418;4.54;;
96;"Universidade do Estado do Rio Grande do Norte (UERN)";RN;Pública;65;20.64;215;13.47;496;3.98;517;1.49;1;8;;
97;"Centro Universitário Ritter dos Reis (UNIRITTER)";RS;Privada;65;20.64;218;13.42;251;5.97;25;3.88;535;3.57;;
98;"Universidade Tiradentes (UNIT)";SE;Privada;65;20.64;227;13.27;132;6.94;760;0.31;240;6.02;0;0
99;"Universidade Veiga de Almeida (UVA)";RJ;Privada;65;20.64;247;12.8;226;6.17;350;2.3;444;4.33;0;0
100;"Centro Universitário Ítalo-Brasileiro (UNIÍTALO)";SP;Privada;65;20.64;248;12.78;171;6.62;564;1.26;375;4.9;;
101;"Universidade de Uberaba (UNIUBE)";MG;Privada;65;20.64;249;12.77;324;5.38;476;1.69;278;5.7;;
