Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
117;"Universidade de Rio Verde (FESURV)";GO;Pública;;;112;7.72;133;2.2;129;0.24;63;5.28;;
118;"Universidade Metropolitana de Santos (UNIMES)";SP;Privada;;;113;7.7;87;4.22;89;1.41;136;2.07;;
119;"Faculdades Integradas do Vale do Iguaçu";PR;Privada;;;114;7.58;164;0.84;77;1.77;70;4.97;;
120;"Escola Superior Batista do Amazonas (ESBAM)";AM;Privada;0;0;116;7.45;106;3.39;135;0.06;92;4;;
121;"Universidade Iguaçu (UNIG)";RJ;Privada;;;117;7.43;141;1.85;94;1.27;85;4.31;;
122;"Universidade de Cruz Alta (UNICRUZ)";RS;Privada;0;0;118;7.42;105;3.43;85;1.53;127;2.46;;
123;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;0;0;119;7.38;46;6.02;;;152;1.36;;
124;"Universidade Severino Sombra (USS)";RJ;Privada;;;120;7.31;76;4.7;102;1.03;147;1.58;;
125;"Universidade Regional de Blumenau (FURB)";SC;Pública;;;121;7.25;90;4.09;55;2.41;166;0.75;;
126;"Centro Universitário Anhanguera de Niterói (UNIAN)";RJ;Privada;0;0;122;7.09;119;2.81;132;0.15;89;4.13;;
127;"Faculdade Vértice (VÉRTICE)";MG;Privada;0;0;123;6.85;163;0.88;27;3.24;121;2.73;;
128;"Centro Universitário de Itajubá (FEPI)";MG;Privada;;;124;6.69;125;2.55;131;0.18;93;3.96;;
129;"Universidade Guarulhos (UNG)";SP;Privada;;;125;6.62;111;3.17;54;2.44;160;1.01;;
130;"Faculdade Terra Nordeste (FATENE)";CE;Privada;0;0;126;6.56;63;5.28;;;154;1.28;;
131;"Universidade Paranaense (UNIPAR)";PR;Privada;;;127;6.54;104;3.47;88;1.44;146;1.63;0;0
132;"Instituto Unificado de Ensino Superior Objetivo (IUESO)";GO;Privada;0;0;128;6.54;134;2.15;73;1.88;126;2.51;;
133;"Centro Universitário Monte Serrat (UNIMONTE)";SP;Privada;0;0;129;6.51;94;3.91;86;1.5;158;1.1;;
134;"Faculdade de Ciências Biomédicas de Cacoal (FACIMED)";RO;Privada;0;0;130;6.35;155;1.23;111;0.77;84;4.35;;
135;"Centro Universitário da Grande Dourados (UNIGRAN)";MS;Privada;0;0;131;6.15;130;2.33;;;96;3.82;;
136;"Faculdade de Tecnologia e Ciências de Feira de Santana (FTC)";BA;Privada;0;0;132;6.05;169;0.62;81;1.65;97;3.78;;
137;"Faculdade de Itapiranga (SEI/FAI)";SC;Privada;;;133;5.98;152;1.36;101;1.06;102;3.56;;
138;"Centro Universitário Anhangüera (UNIFIAN)";SP;Privada;;;134;5.83;177;0.26;91;1.35;87;4.22;;
139;"Faculdade Educacional de Dois Vizinhos (FAED)";PR;Privada;;;135;5.82;171;0.53;123;0.41;72;4.88;;
140;"Universidade de Caxias do Sul (UCS)";RS;Privada;0;0;136;5.71;86;4.26;;;150;1.45;;
141;"Faculdade de Ciências Biológicas e da Saúde (FACISA)";MG;Privada;;;137;5.7;146;1.63;60;2.27;142;1.8;;
142;"Centro Universitário do Espírito Santo (UNESC)";ES;Privada;;;138;5.52;149;1.5;39;2.88;157;1.14;0;0
143;"Faculdade de Estudos Superiores de Minas Gerais (FEAD)";MG;Privada;;;139;5.49;100;3.65;97;1.18;168;0.66;;
144;"Faculdade Sudoeste Paulista (FSP)";SP;Privada;;;140;5.14;96;3.82;;;153;1.32;;
145;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;;;141;5.1;160;1.01;;;90;4.09;;
146;"Faculdade Campo Real (CAMPO REAL)";PR;Privada;;;142;5.06;168;0.66;;;83;4.4;;
147;"Faculdade Presidente Antônio Carlos de Bom Despacho (FAPACBD)";MG;Privada;;;143;5.04;159;1.06;84;1.56;128;2.42;;
148;"Faculdade Evangélica do Paraná (FEPAR)";PR;Privada;;;144;5.02;140;1.89;38;2.91;178;0.22;;
149;"Faculdade Ingá";PR;Privada;;;145;5.01;123;2.64;;;129;2.37;;
150;"Centro Regional Universitário de Espírito Santo do Pinhal (UNIPINHAL)";SP;Privada;0;0;146;4.97;131;2.29;104;0.97;144;1.71;;
151;"Centro Universitário Ritter dos Reis (UNIRITTER)";RS;Privada;0;0;147;4.96;71;4.92;;;182;0.04;;
152;"Faculdades Integradas do Tapajós (ISES)";PA;Privada;;;148;4.83;126;2.51;121;0.47;141;1.85;0;0
153;"Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete";MG;Privada;;;150;4.66;117;2.9;;;143;1.76;;
154;"Universidade Vale do Rio Verde (UNINCOR)";MG;Privada;;;151;4.17;172;0.48;40;2.85;164;0.84;;
155;"Universidade da Região da Campanha (URCAMP)";RS;Privada;0;0;152;4.1;165;0.79;120;0.5;119;2.81;;
156;"Centro Universitário Dinâmica das Cataratas (UDC)";PR;Privada;;;153;4.09;161;0.97;;;112;3.12;;
157;"Centro Universitário de Barra Mansa (UBM)";RJ;Privada;;;154;4.05;103;3.52;;;171;0.53;;
158;"Faculdade Presidente Antônio Carlos de Uberlândia";MG;Privada;;;155;3.97;153;1.32;83;1.59;159;1.06;;
159;"Faculdade Murialdo (FAMUR)";RS;Privada;;;156;3.95;137;2.02;;;139;1.93;;
160;"Centro Universitário de Formiga (UNIFORMG)";MG;Privada;;;158;3.84;129;2.37;108;0.85;169;0.62;;
161;"Faculdade Assis Gurgacz (FAG)";PR;Privada;0;0;160;3.73;162;0.92;110;0.79;137;2.02;;
162;"Faculdades Integradas Promove de Brasilia";DF;Privada;0;0;161;3.71;158;1.1;105;0.94;145;1.67;;
163;"Faculdade de Ciências da Saúde de Unaí (FACISA)";MG;Privada;;;162;3.69;182;0.04;;;100;3.65;;
164;"Faculdade Anhangüera de Campinas";SP;Privada;;;163;3.63;178;0.22;109;0.82;124;2.59;;
165;"Universidade Salvador (UNIFACS)";BA;Privada;;;164;3.43;109;3.25;;;179;0.18;;
166;"Faculdade de Ciências Agrárias de Andradina (FCAA)";SP;Privada;;;165;3.37;124;2.59;130;0.21;170;0.57;;
167;"Faculdade Anhanguera de Anápolis (FAAA)";GO;Privada;0;0;166;3.33;181;0.09;136;0.03;110;3.21;;
168;"Universidade de Sorocaba (UNISO)";SP;Privada;0;0;167;3.25;120;2.77;;;172;0.48;;
169;"Universidade Nilton Lins (UNINILTONLINS)";AM;Privada;;;168;3.24;150;1.45;118;0.56;155;1.23;;
170;"Centro Universitário de Patos de Minas (UNIPAM)";MG;Privada;;;170;3.17;138;1.98;;;156;1.19;0;0
171;"Centro Universitário de Desenvolvimento do Centro-Oeste (UNIDESC)";GO;Privada;;;171;2.98;156;1.19;100;1.09;167;0.7;;
172;"Faculdades Integradas dos Campos Gerais (CESCAGE)";PR;Privada;;;172;2.8;170;0.57;70;1.97;177;0.26;;
173;"Centro Universitário Barriga Verde (UNIBAVE)";SC;Pública;;;173;2.72;142;1.8;;;162;0.92;;
174;"Faculdade Anhangüera de Dourados (FAD)";MS;Privada;;;174;2.56;179;0.18;134;0.09;131;2.29;;
175;"Faculdade de Ciências e Letras de Bragança Paulista (FESB)";SP;Pública;;;175;2.38;144;1.71;126;0.32;175;0.35;;
176;"Faculdade Cidade de Coromandel (FCC)";MG;Privada;;;176;2.33;180;0.13;;;133;2.2;;
177;"Faculdade Anísio Teixeira de Feira de Santana (FAT)";BA;Privada;;;177;2.2;135;2.11;;;181;0.09;;
178;"Centro Universitário do Norte (UNINORTE)";AM;Privada;;;178;2.16;154;1.28;;;163;0.88;;
179;"Faculdade Max Planck (FMP)";SP;Privada;0;0;179;2.02;147;1.58;;;173;0.44;;
180;"Faculdades Unidas do Vale do Araguaia (UNIVAR)";MT;Privada;0;0;180;1.28;176;0.31;;;161;0.97;;
181;"Escola Superior São Francisco de Assis (ESFA)";ES;Privada;;;181;1.06;166;0.75;;;176;0.31;;
182;"Centro Universitário do Triângulo (UNITRI)";MG;Privada;;;182;0.8;174;0.4;;;174;0.4;;
