Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
65;"Universidade Federal do Amazonas (UFAM)";AM;Pública;51;15.07;70;13.35;137;2.06;29;3.29;1;8;;
66;"Universidade da Amazônia (UNAMA)";PA;Privada;51;15.07;72;13.15;97;3.8;105;1.35;1;8;;
67;"Fundação Universidade Federal de Rondônia (UNIR)";RO;Pública;51;15.07;79;12.38;88;4.2;151;0.18;1;8;;
68;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;51;15.07;84;11.59;24;7;155;0.08;80;4.51;;
69;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;51;15.07;90;10.85;74;4.81;96;1.58;81;4.46;0;0
70;"Universidade Estadual de Goiás (UEG)";GO;Pública;51;15.07;94;10.25;177;0.31;82;1.94;1;8;0;0
71;"Universidade Católica do Salvador (UCSAL)";BA;Privada;51;15.07;103;9.93;63;5.29;;;77;4.64;;
72;"Centro Universitário Una (UNA)";MG;Privada;51;15.07;106;9.33;102;3.59;21;3.49;131;2.25;;
73;"Centro Universitário Franciscano (UNIFRA)";RS;Privada;51;15.07;110;8.85;98;3.76;123;0.89;87;4.2;;
74;"Universidade Nove de Julho (UNINOVE)";SP;Privada;51;15.07;113;8.73;65;5.2;148;0.26;108;3.27;0;0
75;"Universidade Cândido Mendes (UCAM)";RJ;Privada;51;15.07;117;8.61;77;4.68;115;1.1;118;2.83;;
76;"Centro Universitário de Franca (UNI-FACEF)";SP;Pública;51;15.07;121;8.22;69;5.03;85;1.86;152;1.33;;
77;"Faculdade de Ciências Humanas Esuda (FCHE)";PE;Privada;51;15.07;124;8.02;95;3.89;138;0.51;100;3.62;;
78;"Universidade de Passo Fundo (UPF)";RS;Privada;51;15.07;127;7.43;99;3.72;80;1.99;143;1.72;;
79;"Universidade da Região de Joinville (UNIVILLE)";SC;Pública;51;15.07;128;7.28;143;1.79;64;2.4;112;3.09;;
80;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;51;15.07;136;6.36;120;2.8;143;0.38;110;3.18;0;0
81;"Universidade Comunitária da Região de Chapecó (UNOCHAPECÓ)";SC;Pública;51;15.07;137;6.29;166;0.79;86;1.83;99;3.67;;
82;"Universidade Vila Velha (UVV)";ES;Privada;51;15.07;148;5.59;162;0.96;23;3.44;155;1.19;0;0
83;"Centro Universitário de Ensino Superior do Amazonas (CIESA)";AM;Privada;51;15.07;150;5.42;146;1.66;106;1.33;127;2.43;0;0
84;"Centro Universitário Fundação Santo André (CUFSA)";SP;Pública;51;15.07;160;4.08;148;1.57;63;2.42;180;0.09;;
85;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;;;44;18.9;11;7.56;27;3.34;1;8;0;0
86;"Centro Universitário Newton Paiva (NEWTON PAIVA)";MG;Privada;51;15.07;166;3.69;158;1.14;124;0.87;144;1.68;0;0
87;"Faculdade Alves Faria (ALFA)";GO;Privada;51;15.07;170;3.29;173;0.48;131;0.69;134;2.12;;
88;"Universidade Federal de São João Del Rei (UFSJ)";MG;Pública;0;0;46;17.88;18;7.26;55;2.62;1;8;;
89;"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)";MG;Pública;;;47;17.73;22;7.08;54;2.65;1;8;;
90;"Faculdade de Ciências Econômicas, Administrativas e da Computação Dom Bosco (FCEACDB)";RJ;Privada;51;15.07;177;2.45;153;1.36;126;0.82;176;0.27;;
91;"Universidade Federal de Ouro Preto (UFOP)";MG;Pública;0;0;48;17.37;49;5.9;22;3.47;1;8;;
92;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;0;0;49;17.03;48;5.95;37;3.08;1;8;0;0
93;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;0;0;50;16.65;59;5.46;33;3.19;1;8;;
94;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;;;51;16.4;21;7.13;108;1.27;1;8;;
95;"Faculdade Gama e Souza (FGS)";RJ;Privada;;;52;16.25;67;5.12;35;3.13;1;8;;
96;"Centro Universitário Geraldo Di Biase (UGB)";RJ;Privada;0;0;53;16.17;60;5.42;50;2.75;1;8;;
97;"Fundação Universidade Federal do Abc (UFABC)";SP;Pública;;;54;16;1;8;;;1;8;;
98;"Faculdade Fucape (FUCAPE)";ES;Privada;0;0;55;15.67;15;7.39;5;3.9;83;4.38;;
99;"Universidade Federal da Integração Latino-Americana (UNILA)";PR;Pública;;;56;15.34;16;7.34;;;1;8;;
100;"Centro Universitário Facvest (FACVEST)";SC;Privada;;;58;15.22;34;6.56;132;0.66;1;8;;
