"date","degree","major","school","perfil_id"
"2010 – 2014","Nome do diploma
Ciências Econômicas com Ênfase em Controladoria","Área de estudo
Finanças e Controladoria","Universidade Federal de Alfenas",43
"2010 – 2014","Nome do diploma
Ciências Econômicas com Ênfase em Controladoria","","Universidade Federal de Alfenas",43
"2006 – 2009","Nome do diploma
Technologist in","Área de estudo
Internet Information Systems","Faculdade Pitágoras",44
"2015","Nome do diploma
Bacharelado em Sistemas de Informação","","Universidade Federal do Amazonas",45
"2011 – 2013","Nome do diploma
Técnico em Informática","Área de estudo
Tecnologia da Informação","IFAM - Instituto Federal de Educação, Ciência e Técnologia do Amazonas",45
"2012 – 2017","Nome do diploma
Bachelor’s Degree","Área de estudo
Computer Software Engineering","Universidade Federal do Amazonas",46
"2014 – 2015","Nome do diploma
Non-degree Student","Área de estudo
Computer Science","Kent State University",46
"2015","Nome do diploma
Interniship","Área de estudo
Computer Systems Networking and Telecommunications","The Catholic University of America",46
"2011 – 2016","Nome do diploma
Psicologia","","Universidade Federal de Minas Gerais",47
"1998 – 2009","","","Colegio Santo Antônio",47
"2007 – 2011","Nome do diploma
Psicóloga","Área de estudo
Psicologia","Universidade Federal de Santa Catarina",48
"2016 – 2017","Nome do diploma
Pós-graduação","Área de estudo
Direito do Trabalho e Processo Trabalhista","UNINTER Centro Universitário Internacional",48
"2013 – 2015","Nome do diploma
Pós-Graduação","Área de estudo
Psicanálise","Escola Brasileira de Psicanálise",48
"2008 – 2011","Nome do diploma
Especialista","Área de estudo
Design de Interação","Pontifícia Universidade Católica de Minas Gerais",49
"2002 – 2005","Nome do diploma
Engenharia da Computação","","Instituto de Estudos Superiores da Amazônia",49
"2012 – 2013","Nome do diploma
Master of Business Administration (MBA)","Área de estudo
Marketing","Fundação Getulio Vargas",50
"2006 – 2011","Nome do diploma
Administracao de Empresas","","Universidade Federal Fluminense",50
"2006 – 2010","Nome do diploma
bacharelado","Área de estudo
Ciências econômicas","Universidade Federal de Minas Gerais",51
"","","","Marista",51
"2011 – 2015","Nome do diploma
Bachelor's degree","Área de estudo
Information Technology","PUC Minas",52
"2006 – 2008","Nome do diploma
Técnico em Informática","Área de estudo
Ciências da Computação e Informática","Colégio COTEMIG",52
"2006 – 2006","","","ETFG",52
"2013 – 2017","Nome do diploma
Comunicação Social - Publicidade e Propaganda","","Universidade Federal de Minas Gerais",53
"2008 – 2011","Nome do diploma
Bachelor of Business Administration (BBA)","","Universidade Vale do Rio Doce",54
"2014 – 2017","Nome do diploma
Bacharel em Publicidade","","Universidade Federal de Minas Gerais",55
"1998 – 2012","","","Colégio Piracicabano",55
"2015 – 2018","Nome do diploma
Bacharelado","Área de estudo
Comunicação Social (Publicidade e Propaganda)","Universidade Federal de Minas Gerais",56
"2011 – 2013","Nome do diploma
Ensino Médio e Técnico em Eletrônica","","Colégio Técnico Industrial - Prof. Isaac Portal Roldán",56
"2012 – 2015","Nome do diploma
Tecnólogo em Analise e Desenvolvimento de Sistemas","Área de estudo
Tecnologia da Informação","Faculdade Cotemig",57
"2016 – 2020","Nome do diploma
Psicologia","","Centro Universitário Newton Paiva",58
"2015 – 2016","Nome do diploma
Psicologia","","Universidade Salgado de Oliveira",58
"2012 – 2013","Nome do diploma
Help Desk","","SENAC MG",58
"2015 – 2019","","Área de estudo
Contabilidade","Universidade Federal de Minas Gerais",59
"2002 – 2014","","","Colégio Santo Agostinho",59
"2007 – 2008","Nome do diploma
Graduate","Área de estudo
Interaction Design","Pontifícia Universidade Católica de Minas Gerais",60
"2000 – 2005","Nome do diploma
Under Graduate","Área de estudo
Fine Arts","Universidade Federal de Minas Gerais",60
"2010 – 2016","Nome do diploma
Bachelor's Degree","Área de estudo
Chemical Engineering","Universidade Federal de Minas Gerais",61
"2015 – 2016","Nome do diploma
Bachelor's Degree","Área de estudo
Chemical Engineering","University of Connecticut",61
"2015 – 2016","Nome do diploma
Marketing Estratégico","","IEC - Instituto de Educação Continuada PUC Minas",62
"2011 – 2015","Nome do diploma
Publicidade e Propaganda","","Pontifícia Universidade Católica de Minas Gerais",62
"2017 – 2021","Nome do diploma
Sistemas de Informação","Área de estudo
Ciências Exatas e da Terra","Universidade Estácio de Sá",63
"2014 – 2014","Nome do diploma
International Business Management","Área de estudo
Business Administration","Caldwell Community College and Technical Institute",63
"2013 – 2014","Nome do diploma
Pós em Engenharia de Sotware","Área de estudo
Ciências Exatas e da Terra","ÚNICA - Escola de Negócios",63
"2008 – 2012","Nome do diploma
Licenciatura em História","Área de estudo
História","Universidade Federal de Minas Gerais",64
"2013 – 2014","Nome do diploma
Pós Graduação","Área de estudo
Gestão Estratégica de Pessoas","Faculdade Senac Minas",64
"2016 – 2017","Nome do diploma
People Management Specialization","Área de estudo
Human Resources Management and Services","Pontifícia Universidade Católica de Minas Gerais",65
"2006 – 2011","Nome do diploma
Bachelor's degree","Área de estudo
Computer Science","Universidade Federal de Juiz de Fora",65
"2010 – 2011","Nome do diploma
Pós-Graduação","Área de estudo
Análise Financeira","Universidade Cândido Mendes",66
"2005 – 2009","Nome do diploma
Graduação","Área de estudo
Publicidade e Propaganda","Centro Universitário de Belo Horizonte - UNI-BH",66
"2015 – 2016","Nome do diploma
Pós-Graduação em Comunicação Digital","","Pontifícia Universidade Católica de Minas Gerais",67
"2011 – 2014","","Área de estudo
Publicidade e Propaganda","Centro Universitário de Belo Horizonte",67
"2008 – 2011","Nome do diploma
Bachelor of Science (B.S.), Economics","","Fundação Getulio Vargas",68
"2002 – 2007","","","Loyola",68
"2007 – 2010","","Área de estudo
Propaganda e Marketing","Universidade Paulista",69
"2015 – 2019","Nome do diploma
Bacharelado","Área de estudo
Gestão de Sistemas de Informação","Centro Universitário UNA",70
"2013 – 2014","Nome do diploma
Tecnico","Área de estudo
Mecatrônica, Robótica e Engenharia de Controle e Automação","Polimig",70
"2015 – 2019","","","Universidade Federal de Minas Gerais",71
"2015 – 2019","","Área de estudo
Comunicação Social","Universidade Federal de Minas Gerais",71
"2004 – 2009","Nome do diploma
Bacharel em Propaganda e Marketing","Área de estudo
Marketing","Facamp",72
"2009","Nome do diploma
Graduação em Filmmaking","Área de estudo
Direção Cinematográfica","Academia Internacional de Cinema",72
"2013 – 2016","Nome do diploma
Bacharelado","Área de estudo
Sistemas de Informação","Universidade Federal do Amazonas",73
"2006 – 2010","Nome do diploma
Bachelor of Business Administration (BBA)","Área de estudo
Business Administration and Management, General","Pontifícia Universidade Católica de São Paulo",74
"","","","",74
"2000 – 2003","Nome do diploma
Graduação","Área de estudo
Administração de Empresas","Universidade FUMEC",75
"2008 – 2008","Nome do diploma
MBA Latu Sensu","Área de estudo
Gestão Empresarial","Faculdade Pitágoras",75
"2016 – 2017","Nome do diploma
Master of Business Administration (MBA)","Área de estudo
Gestão Estratégica de Negócios","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais",76
"2013 – 2015","Nome do diploma
Graduação","Área de estudo
Gestão de Produção Industrial","Universidade Vale do Rio Verde",76
"2013 – 2015","Nome do diploma
Marketing","Área de estudo
Vendas, Merchandising e Marketing","Universidade de Santo Amaro",77
"2014 – 2014","Nome do diploma
Google AdWords Fundamentals","Área de estudo
Marketing","Gawa",77
"2014 – 2014","Nome do diploma
Analise Google Analytics","Área de estudo
Marketing","Gawa",77
"2004 – 2008","Nome do diploma
Bacharel","Área de estudo
Publicidade e Propaganda","Universidade Presbiteriana Mackenzie",78
"2011 – 2013","Nome do diploma
Master's degree","Área de estudo
Informatics","Universidade Federal do Amazonas",79
"2006 – 2010","Nome do diploma
B.S. in Computer Science","Área de estudo
Information Technology","Faculdade FUCAPI",79
"2008 – 2013","Nome do diploma
Bacharel em Engenharia da Computação","","Universidade Federal do Amazonas",80
"2012 – 2013","Nome do diploma
Specialization: Computation Statistics and Data Analysis","","Universidade Federal de Juiz de Fora",81
"2008 – 2013","Nome do diploma
Bachelor of Business Administration (B.B.A.)","Área de estudo
Corporate Finance","Universidade Federal de Juiz de Fora",81
"2010 – 2011","Nome do diploma
Bachelor of Business Administration (B.B.A.)","Área de estudo
Exchange Program","Universidade da Beira Interior",81
"2013 – 2017","Nome do diploma
bacharelado em Sistemas de Informação","Área de estudo
Tecnologia da Informação","Universidade Fereral do Amazonas",82
"2010 – 2013","Nome do diploma
Técnico de Nível médio integrado em informática","Área de estudo
Foco em desenvolvimento de sistemas","Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",82
"2013 – 2016","Nome do diploma
Bacharelado em Ciência da Computação","Área de estudo
Ciência da Computação","Ufam",83
"2010 – 2012","Nome do diploma
Ensino Médio Integrado ao Técnico","Área de estudo
Informática","Fundacao Nokia de Ensino",83
"2008 – 2012","Nome do diploma
Engenheiro de Computação","Área de estudo
Processamento Digital de Imagens","Universidade do Estado do Amazonas - UEA",84
"2014 – 2019","Nome do diploma
Engenharia da Computação","","Fucapi",85
"2014 – 2016","Nome do diploma
Master in Informatics","Área de estudo
Database and Information Retrieval","Federal University of Amazonas - UFAM",86
"2008 – 2013","Nome do diploma
Technologist in Data Processing","Área de estudo
Data Processing","Amazonas State University - UEA",86
"2011 – 2016","Nome do diploma
Bacharelado em Engenharia","Área de estudo
Engenharia de Computação","Universidade Federal do Amazonas",87
"2014 – 2015","","Área de estudo
Softwaretechnik","University of Stuttgart",87
"2014 – 2015","Nome do diploma
Interchange Student","","University of Stuttgart",87
"2013 – 2017","","Área de estudo
Ciência da Computação","Universidade Federal do Amazonas",88
"2010 – 2012","Nome do diploma
Técnico","Área de estudo
Informática","Fundação Nokia",88
"2017 – 2019","Nome do diploma
Bacharelado em Engenharia","Área de estudo
Mecatrônica, Robótica e Engenharia de Controle e Automação","Universidade Federal de Minas Gerais",89
"2011 – 2016","Nome do diploma
Bacharelado em Engenharia","Área de estudo
Engenharia Química","Universidade Federal de Minas Gerais",89
"2002 – 2007","Nome do diploma
Bacharel em Sistemas de Informação","","Pontifícia Universidade Católica de Minas Gerais",90
"1997 – 1999","Nome do diploma
Técnico em processamento de dados.","Área de estudo
Desenvolvimento de Sistemas","Colégio Brasileiro",90
"2012","Nome do diploma
Engenharia e Administração de Banco de Dados, Especialização","","UNICAMP - Universidade Estadual de Campinas",90
"2014 – 2014","Nome do diploma
Pós-Graduado","Área de estudo
Marketing Digital e Mídias Sociais","Centro Universitário de Belo Horizonte",91
"2009 – 2013","Nome do diploma
Bacharel em Comunicação Social Integrada","Área de estudo
Relações Públicas/Gestão de Imagem","Pontifícia Universidade Católica de Minas Gerais",91
"2011 – 2015","Nome do diploma
Comunicação Social - Publicidade e Propaganda","Área de estudo
Publicidade e Propaganda","Pontifícia Universidade Católica de Minas Gerais",92
"","Nome do diploma
Processos Gerenciais","Área de estudo
Tecnologia em Controle de Qualidade","Estácio de Sá",93
"","Nome do diploma
Ciência da Computação","Área de estudo
Tecnologia da Informação","Universidade de Alfenas",93
"2013 – 2014","Nome do diploma
Gestão de vendas e Negociação","","FIA - Fundação Instituto de Administração",94
"2006 – 2010","Nome do diploma
Bachelor of Business Administration (BBA)","Área de estudo
Business","Pontifícia Universidade Católica de São Paulo",94
"2012 – 2012","","Área de estudo
Marketing Digital","Ecommerce School",94
"2009 – 2014","Nome do diploma
Bachelor's degree","Área de estudo
Chemical Engineering","UFMG - Universidade Federal de Minas Gerais",95
"2011 – 2012","Nome do diploma
Bachelor's degree","Área de estudo
Chemical Engineering","Universidade do Porto",95
"2006 – 2008","Nome do diploma
High School","Área de estudo
High School","CSA | Colégio Santo Antônio",95
"2008 – 2011","Nome do diploma
Bachelor","Área de estudo
Economics","PUC-SP",96
"2003 – 2008","Nome do diploma
Bachelor","Área de estudo
Eletronic Engineer","PUC-SP",96
"","","","Lourenço Castanho",96
"2017 – 2017","Nome do diploma
Marketing Digital","Área de estudo
Gestão de Marketing","Udacity Brasil",97
"2013 – 2015","Nome do diploma
Comercio exterior","Área de estudo
Negócios Internacionais e Comércio Exterior","Universidade do Grande ABC",97
"2005 – 2009","Nome do diploma
Bacharel","Área de estudo
Publicidade e Propaganda","Centro Universitário da Grande Dourados",97
"2013 – 2017","","Área de estudo
Ingénierie des matériaux","Centro Federal de Educação Tecnológica de Minas Gerais",98
"2015","Nome do diploma
Master en ingénierie","Área de estudo
Ingénierie des matériaux","Université catholique de Louvain",98
"2006 – 2008","Nome do diploma
MBA","Área de estudo
Gestão Financeira e Contábil","Cedepe Business School",99
"2002 – 2003","Nome do diploma
Pós-Graduação","Área de estudo
Comunicação Social","Esurp - Escola Superior de Relações Públicas",99
"1997 – 2001","Nome do diploma
Graduação em Comunicação Social","Área de estudo
Relações Públicas","Esurp - Escola Superior de Relações Públicas",99
"2016 – 2017","Nome do diploma
MBA EM COMUNICAÇÃO E MARKETING","Área de estudo
São Miguel","Universidade Cruzeiro do Sul",100
"2006 – 2008","Nome do diploma
Analise e Desenvolvimento de Sistemas","Área de estudo
São Miguel","Universidade Cruzeiro do Sul",100
"2018","Nome do diploma
Psicologia","","Universidade Paulista",101
"","","","Universidade Paulista / UNIP",101
"2009 – 2012","Nome do diploma
Bacharelado em Administração de Empresas","Área de estudo
Administração de Empresas","Anhanguera Educacional",102
"2011 – 2014","Nome do diploma
Bacharel em Administração de Empresas","","Universidade Católica de Brasília",103
"2015 – 2016","Nome do diploma
Pós Graduação","Área de estudo
Marketing Digital e Mídias Sociais","UNICEUB - Brasília",103
