;Administração;Agronegócio;Agronomia;Arquitetura e Urbanismo;Bioquímica;Ciência da Computação;Ciência e Tecnologia de Laticínios;Ciências Biológicas ;Ciências Contábeis;Ciências Econômicas;Ciências Sociais ;Comunicação Social ;Cooperativismo;Dança ;Direito;Economia Doméstica ;Educação Física ;Educação Infantil ;Educação do Campo ;Enfermagem;Engenharia Agrícola e Ambiental;Engenharia Ambiental;Engenharia Civil;Engenharia Elétrica;Engenharia Florestal;Engenharia Mecânica;Engenharia Química;Engenharia de Agrimensura e Cartográfica;Engenharia de Alimentos;Engenharia de Produção;Física ;Geografia ;História ;Letras ;Matemática ;Medicina;Medicina Veterinária;Nutrição;Pedagogia ;Química ;Secretariado Executivo Trilíngue;Serviço Social;Zootecnia
Ciências Sociais ;0.5257022988905501;0.5221391712706932;0.5191158868311644;0.5657570778993963;0.5148027200170776;0.531012305374189;0.5608058506938223;0.5153112685373595;0.5263749835808067;0.5394745614600621;1.0;0.6835615463815773;0.6287511673291698;0.5666729075310712;0.5551314249352275;0.6178652942984768;0.5537040683404596;0.5972163063981033;0.5256287948750942;0.5774464511551489;0.5117068207413644;0.5289088480182659;0.5288452047058321;0.5261146931853263;0.5154494865519625;0.520356140443462;0.5175540966774277;0.5371224364507838;0.5188316690753653;0.5250940155386082;0.5143536946201337;0.5644388708846468;0.6174784421647296;0.5589806343259734;0.5221424396153911;0.5230350164067793;0.5545572919072039;0.5363446829355978;0.5778294352432283;0.5148594293555212;0.5662168403430617;0.6420563598175802;0.5090847129592101
Comunicação Social ;0.5345654596548491;0.5277659409643859;0.5166952358762915;0.5781338241742151;0.5194203403211278;0.5458077351769265;0.5701063088070021;0.5142329704674903;0.5355906174472279;0.5558646919874404;0.6835615463815773;1.0;0.6400267494228871;0.598137535746389;0.5739019964574777;0.621639698863186;0.603931176279854;0.6017824325532733;0.5225939139946911;0.555274009385745;0.5147547132111325;0.5344143219381002;0.536271698742918;0.5348375502342028;0.5136340607077569;0.526546269233215;0.5228944181862764;0.536679040735561;0.5235517980217509;0.5339131148673041;0.5172045644400985;0.5753994225202055;0.6520885061757072;0.6112506010071672;0.5304466660827649;0.514639970059275;0.5407961283491809;0.5382136381870544;0.5911405874248505;0.518197512048031;0.6222311242252303;0.5902753427869911;0.5124422337677009
Cooperativismo;0.5804112627793755;0.5926073642654607;0.5387452379783951;0.5533540855274878;0.5234170220964982;0.5587556959938692;0.595397935492022;0.5202022136148419;0.5852085344935201;0.5982664197857229;0.6287511673291698;0.6400267494228871;1.0;0.5603146984687696;0.5941699678694169;0.6377794200891715;0.5902197527037145;0.6251427176490274;0.5354805239364957;0.5673011356226387;0.5344259196382888;0.543381140376091;0.5485867286231987;0.5469118535901638;0.5243751046763089;0.5386828925807038;0.5278212533776876;0.5534053387631857;0.5331413376241169;0.5612360337331513;0.520673384608459;0.5263396110469672;0.562469957294923;0.5628515598503673;0.5361762198380977;0.5288861203109364;0.5686873931561267;0.5553129994351514;0.6179730348025853;0.5226560481298762;0.6281889901263878;0.6010707189307516;0.5292934885937451
Dança ;0.5239836215857111;0.5157709554612842;0.5131403201085395;0.5348341764294405;0.5209728303492518;0.5307482997346179;0.5245746965430665;0.5163196734961227;0.5229265426894654;0.5294252738909792;0.5666729075310712;0.598137535746389;0.5603146984687696;1.0;0.5368318295636076;0.5629066764330736;0.576276486911942;0.614053965139007;0.5236755276939291;0.5403038692163156;0.5088613739407212;0.5186921358778761;0.527498582183474;0.5309813055984178;0.5120815829071353;0.5221542225061826;0.5187039012677017;0.5269857138520607;0.519315342675348;0.5263169482101149;0.5277862797934361;0.5113698234972098;0.5722009305232909;0.5595480387250062;0.5310373564485237;0.5270110632922659;0.5199427610398604;0.5336585535370134;0.5860087454344534;0.5213865812250055;0.5459562646024821;0.5423583366561567;0.5095196802404423
Direito;0.5498319105745266;0.5279468701093059;0.5230710625380709;0.5366817600324659;0.5188882601833454;0.5355896704688431;0.544059899834956;0.5178334348029334;0.5510909118450059;0.5368537003832476;0.5551314249352275;0.5739019964574777;0.5941699678694169;0.5368318295636076;1.0;0.5642688321893554;0.5363256595406002;0.5554385834814323;0.5137289192127946;0.5414671657212429;0.5164134383732684;0.5243582853290062;0.5293007290768603;0.527385581361098;0.5167967686925815;0.5274490987143671;0.5208470244622396;0.532560693281211;0.522809124113302;0.5304922910581309;0.5122352193136852;0.5203618651000294;0.5432208716525052;0.5471467681301753;0.5205789260323551;0.5325935432712765;0.5225740782672518;0.527982879155282;0.527299532077784;0.5177158981468226;0.5857049114609261;0.5728909184532488;0.5146287790600523
Economia Doméstica ;0.5332820915078902;0.5239785857686553;0.5355376930889791;0.5491126020931115;0.5303882359651408;0.5267103319982817;0.6836881556598309;0.5219295230181181;0.5239652198880737;0.532709188651301;0.6178652942984768;0.621639698863186;0.6377794200891715;0.5629066764330736;0.5642688321893554;1.0;0.5793492432499318;0.6813807762935744;0.5246547852122984;0.6126962750834352;0.5228234475133305;0.5347228697366406;0.5243521479770978;0.5212221510700206;0.5266374096350905;0.5234228341376964;0.5182811050628857;0.5275561058293878;0.567826970337385;0.5329441821032336;0.5134878087189151;0.5185643993687863;0.5377645763486973;0.5530802260546624;0.517214212276705;0.5464968094190392;0.5983013752448337;0.6635311565846483;0.5675846182559134;0.5280296789943981;0.5962591921808834;0.684803117332126;0.5202915090327177
Educação Física ;0.5296465010790959;0.523683444312852;0.5175562717823403;0.5392959131623212;0.5273416702325402;0.5365525320367525;0.5406652237105515;0.5234443763990891;0.528690498018147;0.5367860610765661;0.5537040683404596;0.603931176279854;0.5902197527037145;0.576276486911942;0.5363256595406002;0.5793492432499318;1.0;0.6664896762522691;0.5358215785646725;0.5850710665330825;0.5151826408168422;0.5264466905649249;0.5340264401113515;0.5389253178329415;0.5166377724065326;0.5270837610360727;0.5230883385705742;0.5306310306171009;0.5243121747955274;0.5332488314185343;0.5267721817288837;0.5102497671517217;0.5650350295782133;0.5616920476227008;0.5322733541996544;0.544024343999889;0.5335456016874254;0.5642293800412325;0.6768070418669321;0.5240940159019917;0.5470868390168376;0.5433684773867189;0.5164799958836827
Educação Infantil ;0.5208248900352345;0.5139259068682237;0.5105625250833653;0.5311720604704092;0.5172757703170979;0.5196020034328881;0.53701162555206;0.5151215100742661;0.5184130362496105;0.5206410701748682;0.5972163063981033;0.6017824325532733;0.6251427176490274;0.614053965139007;0.5554385834814323;0.6813807762935744;0.6664896762522691;1.0;0.5468587709592246;0.5651710034645675;0.5091558646474824;0.5179105432902744;0.5183985967571285;0.5193396883196998;0.5106201707312407;0.5145912577487637;0.5106786742686222;0.5219980872163024;0.5112565921105311;0.5182290589714448;0.5183412178605291;0.5166577751777196;0.5800371025400003;0.5899934438906782;0.5218671943777223;0.5284286587955791;0.5331048032030511;0.5509263945568699;0.7632555410013955;0.5160134247403051;0.5734700445411702;0.6348345689967625;0.5080549745588284
Educação do Campo ;0.543273535087881;0.5210227508463674;0.5453847269151546;0.5163677901728271;0.5334980160611884;0.5442404783336741;0.523549140209816;0.5483141884447454;0.5472006880372008;0.5491077497904949;0.5256287948750942;0.5225939139946911;0.5354805239364957;0.5236755276939291;0.5137289192127946;0.5246547852122984;0.5358215785646725;0.5468587709592246;1.0;0.5205668019494958;0.5334833974811197;0.5423822349866824;0.5279429020305675;0.5306458875085587;0.5549956486897003;0.5351826780979726;0.5352594224352392;0.5380586886171357;0.5424271442041526;0.5414535038618623;0.5418902427419231;0.5490203794742889;0.5212452332704418;0.520617883211085;0.5564900695545612;0.5107249028240589;0.5176830099956694;0.5139081127491105;0.5655629812525498;0.5379742020949253;0.5122779722612558;0.5132194364072991;0.5234323201372946
Enfermagem;0.5300122705458447;0.5231273856796805;0.5346381247569356;0.5368117577141734;0.5526742743649469;0.5363484450546361;0.5973741673356653;0.5486326397424965;0.5229172509606627;0.5301103694330859;0.5774464511551489;0.555274009385745;0.5673011356226387;0.5403038692163156;0.5414671657212429;0.6126962750834352;0.5850710665330825;0.5651710034645675;0.5205668019494958;1.0;0.5249578269962747;0.5370068199615855;0.5298659269682869;0.5338185080064738;0.5289112559033726;0.5263301810170693;0.525315341937171;0.5313098760152162;0.542452855847073;0.5353908477200584;0.5182072054108493;0.5172472382412461;0.5418589261411234;0.5392770352400564;0.5233120842872353;0.6762598234102495;0.5949806166302536;0.6548265914604993;0.5417669740864106;0.5304530211445649;0.5461681183342059;0.5812174214137797;0.5302349141671545
